Correlation,Metric
0.079323,BC
0.077239,BC
0.17629,BC
0.044641,BC
0.19388,BC
0.30605,BC
0.24454,BC
0.14728,BC
0.56243,BC
0.78272,BC
0.49237,BC
0.5118,BC
0.35601,BC
0.64826,BC
0.16894,BC
0.24229,BC
0.16744,BC
0.027848,BC
0.16941,BC
0.24903,BC
0.3625,BC
0.44938,BC
0.41395,BC
0.47647,BC
0.3127,BC
0.2617,BC
0.17491,BC
0.12723,BC
0.21724,BC
0.42881,BC
0.48393,BC
0.32976,BC
0.14656,BC
0.28277,BC
0.34464,BC
0.22363,BC
0.1045,BC
0.17554,BC
0.3421,BC
0.34791,BC
0.33601,BC
0.41164,BC
0.27232,BC
0.53495,BC
0.24259,BC
0.26066,BC
0.0061512,BC
0.029578,BC
0.38005,BC
0.21254,BC
0.29108,BC
0.50468,BC
0.52953,BC
0.24168,BC
0.39747,BC
0.22862,BC
0.51768,BC
0.042232,BC
0.39703,BC
0.45737,BC
0.66755,BC
0.32846,BC
0.30088,BC
0.41764,BC
0.6639,BC
0.56696,BC
0.16245,BC
0.19793,BC
0.46175,BC
0.027919,BC
0.33241,BC
0.47346,BC
0.61225,BC
0.27517,BC
0.56673,BC
0.45739,BC
0.3233,BC
0.52742,BC
0.29554,BC
0.075087,BC
0.35355,BC
0.47809,BC
0.52818,BC
0.60198,BC
0.36397,BC
0.1485,BC
0.45419,BC
0.60268,BC
0.53363,BC
0.68073,BC
0.020006,CC
0.0081711,CC
0.0090078,CC
0.049294,CC
0.29381,CC
0.245,CC
0.049245,CC
0.076619,CC
0.39549,CC
0.7244,CC
0.28085,CC
0.20805,CC
0.16,CC
0.3257,CC
0.015503,CC
0.0016038,CC
0.037614,CC
0.0040758,CC
0.14777,CC
0.057627,CC
0.11634,CC
0.010629,CC
0.25989,CC
0.47857,CC
0.4547,CC
0.30914,CC
0.10631,CC
0.11248,CC
0.077322,CC
0.10076,CC
0.48042,CC
0.049588,CC
0.00064833,CC
0.0015886,CC
0.40603,CC
0.15792,CC
0.0042291,CC
0.0049445,CC
0.17223,CC
0.035817,CC
0.095824,CC
0.15333,CC
0.19648,CC
0.3334,CC
0.070089,CC
0.15779,CC
0.0016931,CC
0.0012078,CC
0.20808,CC
0.28992,CC
0.24621,CC
0.18462,CC
0.39608,CC
0.32435,CC
0.3254,CC
0.18905,CC
0.12751,CC
0.037655,CC
0.074926,CC
0.34019,CC
0.30477,CC
0.26771,CC
0.15339,CC
0.34807,CC
0.44385,CC
0.2271,CC
0.031768,CC
0.047039,CC
0.070993,CC
0.024753,CC
0.11835,CC
0.087284,CC
0.29887,CC
0.029405,CC
0.33144,CC
0.24337,CC
0.14861,CC
0.29488,CC
0.13437,CC
0.0016582,CC
0.19435,CC
0.32162,CC
0.3161,CC
0.055782,CC
0.069702,CC
0.042033,CC
0.47937,CC
0.44514,CC
0.32857,CC
0.59828,CC
0.0011739,LE
0.0017638,LE
0.0067548,LE
0.0097962,LE
0.24425,LE
0.16772,LE
0.039848,LE
0.046103,LE
0.40955,LE
0.7292,LE
0.28899,LE
0.21015,LE
0.16177,LE
0.32755,LE
0.0057278,LE
0.010054,LE
0.033367,LE
0.0058223,LE
0.032838,LE
0.019029,LE
0.08243,LE
0.048948,LE
0.20636,LE
0.48059,LE
0.43522,LE
0.12278,LE
0.0034535,LE
0.17696,LE
0.068015,LE
0.037851,LE
0.43174,LE
0.010505,LE
0.017902,LE
0.010896,LE
0.41395,LE
0.1313,LE
0.0059363,LE
0.0022024,LE
0.034615,LE
0.00054618,LE
0.0018298,LE
0.033388,LE
0.16964,LE
0.29322,LE
0.04414,LE
0.091925,LE
0.016371,LE
0.0028979,LE
0.19477,LE
0.28137,LE
0.2047,LE
0.18076,LE
0.39028,LE
0.3271,LE
0.27496,LE
0.17761,LE
0.084957,LE
0.017146,LE
0.0096254,LE
0.29661,LE
0.28257,LE
0.26668,LE
0.15714,LE
0.39104,LE
0.43178,LE
0.21919,LE
0.0050677,LE
0.024635,LE
0.00032406,LE
0.022431,LE
0.012974,LE
0.00010792,LE
0.28958,LE
0.018688,LE
0.2682,LE
0.16021,LE
0.020339,LE
0.035089,LE
0.13709,LE
0.0032001,LE
0.17618,LE
0.31566,LE
0.28743,LE
4.6776E-05,LE
0.060819,LE
0.038422,LE
0.45685,LE
0.38599,LE
0.25063,LE
0.57359,LE
