Correlation,Metric
0.32152,BC
0.27193,BC
0.52737,BC
0.30503,BC
0.531,BC
0.21895,BC
0.41934,BC
0.48995,BC
0.49605,BC
0.49956,BC
0.31081,BC
0.51671,BC
0.36477,BC
0.27904,BC
0.23223,BC
0.0873,BC
0.31128,BC
0.32993,BC
0.39764,BC
0.29122,BC
0.41265,BC
0.18316,BC
0.37369,BC
0.58337,BC
0.42465,BC
0.44427,BC
0.12238,BC
0.050816,BC
0.47886,BC
0.62309,BC
0.19278,BC
0.31577,BC
0.31647,BC
0.36072,BC
0.3504,BC
0.29232,BC
0.30015,BC
0.38086,BC
0.40793,BC
0.26072,BC
0.30241,BC
0.34669,BC
0.35471,BC
0.27891,BC
0.4983,BC
0.48109,BC
0.18091,BC
0.27757,BC
0.60685,BC
0.62264,BC
0.57074,BC
0.52099,BC
0.56598,BC
0.37388,BC
0.48072,BC
0.51772,BC
0.25708,BC
0.46414,BC
0.33027,BC
0.29714,BC
0.25917,BC
0.42589,BC
0.25007,BC
0.19795,BC
0.46207,BC
0.45275,BC
0.081798,BC
0.17352,BC
0.40604,BC
0.0019146,BC
0.32799,BC
0.31481,BC
0.44324,BC
0.33246,BC
0.14599,BC
0.29364,BC
0.06449,BC
0.27787,BC
0.39252,BC
0.42035,BC
0.614,BC
0.56875,BC
0.58902,BC
0.5902,BC
0.37202,BC
0.34,BC
0.59298,BC
0.54884,BC
0.65339,BC
0.31949,BC
0.11441,CC
0.095175,CC
0.25139,CC
0.073483,CC
0.29743,CC
0.24049,CC
0.16052,CC
0.24608,CC
0.18599,CC
0.46585,CC
0.27009,CC
0.20272,CC
0.21338,CC
0.2697,CC
0.27492,CC
0.0024385,CC
0.16873,CC
0.066463,CC
0.0091047,CC
0.058503,CC
0.11319,CC
0.11146,CC
0.32816,CC
0.48053,CC
0.45928,CC
0.55068,CC
0.1197,CC
0.16693,CC
0.34611,CC
0.51397,CC
0.086933,CC
0.13834,CC
0.00031482,CC
0.022226,CC
0.137,CC
0.1146,CC
0.11388,CC
0.096007,CC
0.03494,CC
0.02171,CC
0.13746,CC
0.092747,CC
0.26962,CC
0.26974,CC
0.34729,CC
0.37504,CC
0.050598,CC
0.18484,CC
0.48509,CC
0.45056,CC
0.54976,CC
0.4704,CC
0.46372,CC
0.60805,CC
0.41153,CC
0.32541,CC
0.028094,CC
0.24724,CC
0.18452,CC
0.16144,CC
0.32988,CC
0.26457,CC
0.15875,CC
0.17455,CC
0.22359,CC
0.41941,CC
0.097784,CC
0.077879,CC
0.11356,CC
0.016517,CC
0.019105,CC
0.061323,CC
0.24728,CC
0.26059,CC
0.13493,CC
0.40915,CC
0.0095922,CC
0.16094,CC
0.21707,CC
0.29141,CC
0.52674,CC
0.36822,CC
0.2452,CC
0.043363,CC
0.17765,CC
0.089831,CC
0.18235,CC
0.45822,CC
0.49741,CC
0.27968,CC
0.10276,LE
0.079469,LE
0.095908,LE
0.010354,LE
0.23362,LE
0.16758,LE
0.079467,LE
0.19074,LE
0.066175,LE
0.46758,LE
0.26816,LE
0.20305,LE
0.21509,LE
0.26893,LE
0.22532,LE
8.9914E-05,LE
0.16249,LE
0.065617,LE
0.02715,LE
0.00022603,LE
0.070562,LE
0.018345,LE
0.27055,LE
0.45839,LE
0.45271,LE
0.53335,LE
0.12259,LE
0.058411,LE
0.30136,LE
0.48714,LE
0.015472,LE
0.028506,LE
0.084068,LE
0.15467,LE
0.122,LE
0.10048,LE
0.10257,LE
0.065463,LE
0.00079078,LE
0.00022287,LE
0.04637,LE
0.029419,LE
0.21381,LE
0.25813,LE
0.33995,LE
0.36512,LE
0.035312,LE
0.15371,LE
0.4897,LE
0.43233,LE
0.5375,LE
0.47055,LE
0.45817,LE
0.60187,LE
0.39974,LE
0.29538,LE
0.014484,LE
0.17557,LE
0.14736,LE
0.10978,LE
0.30861,LE
0.25267,LE
0.15606,LE
0.17233,LE
0.14951,LE
0.40629,LE
0.05988,LE
0.04997,LE
0.036099,LE
0.06024,LE
0.0031727,LE
0.0096147,LE
0.1134,LE
0.18684,LE
0.071776,LE
0.31221,LE
0.042288,LE
0.023655,LE
0.20479,LE
0.26905,LE
0.5353,LE
0.38751,LE
0.098518,LE
0.026349,LE
0.17812,LE
0.086525,LE
0.0076127,LE
0.33086,LE
0.48951,LE
0.26294,LE
